week_ending,equity,capital,drawdown,rolling_13w_sharpe,rolling_26w_sharpe
2024-10-18,1.0,10000.0,0.0,,
2024-10-25,1.0224516009664097,10224.516009664098,0.0,,
2024-11-01,1.0352798230312827,10352.798230312828,0.0,,
2024-11-08,1.0447642085190987,10447.642085190986,0.0,,
2024-11-15,1.0445210567173133,10445.210567173133,-0.00023273366354115144,,
2024-11-22,1.069248407515026,10692.48407515026,0.0,,
2024-11-29,1.0949862592569777,10949.862592569776,0.0,,
2024-12-06,1.0964175870025494,10964.175870025494,0.0,,
2024-12-13,1.1463179813448978,11463.179813448978,0.0,,
2024-12-20,1.1385616910507146,11385.616910507146,-0.006766264178359349,,
2024-12-27,1.1385616910507146,11385.616910507146,-0.006766264178359349,,
2025-01-03,1.1626171489585195,11626.171489585195,0.0,,
2025-01-10,1.1916655318356983,11916.655318356983,0.0,6.648166353489534,
2025-01-17,1.253556992839861,12535.56992839861,0.0,7.247757931404176,
2025-01-24,1.269319050275067,12693.190502750671,0.0,6.940207816585174,
2025-01-31,1.271737059814466,12717.37059814466,0.0,6.435126789207034,
2025-02-07,1.269149969677799,12691.49969677799,-0.002034296411118408,5.889862843077451,
2025-02-14,1.2636402871453685,12636.402871453685,-0.006366703405088048,5.671589142772586,
2025-02-21,1.2636402871453685,12636.402871453685,-0.006366703405088048,4.92106384801718,
2025-02-28,1.2379378533736778,12379.378533736777,-0.026577197054962864,3.3326418931710435,
2025-03-07,1.2218467821269323,12218.467821269323,-0.03923002581588064,2.8405694765998537,
2025-03-14,1.2651628070869116,12651.628070869116,-0.005169506288126402,2.745746803272754,
2025-03-21,1.2651628070869116,12651.628070869116,-0.005169506288126402,2.9748235731819093,
2025-03-28,1.2651628070869116,12651.628070869116,-0.005169506288126402,2.9748235731819093,
2025-04-04,1.2652063933527655,12652.063933527656,-0.0051352332711395166,2.4275391372816726,
2025-04-11,1.2702426999999268,12702.426999999268,-0.0011750540750594674,1.9166326130316853,3.901410623102507
2025-04-18,1.2709422124464762,12709.422124464762,-0.0006250092044228772,0.6314368843163887,3.9128289519802864
2025-04-25,1.3184247069015005,13184.247069015006,0.0,1.353067922232458,3.9942272630179882
2025-05-02,1.3398233649793092,13398.233649793092,0.0,1.7988156968039966,4.042983721274957
2025-05-09,1.3757201188730717,13757.201188730716,0.0,2.6042948075930683,4.245358877831405
2025-05-16,1.377585577206592,13775.85577206592,0.0,2.8186891349548584,4.277683839447745
2025-05-23,1.377585577206592,13775.85577206592,0.0,2.8186891349548584,3.934996539681082
2025-05-30,1.3592145293707196,13592.145293707195,-0.013335685375803874,3.192702076960614,3.3089718155798136
2025-06-06,1.3656092449554054,13656.092449554053,-0.008693711990997777,4.0594210356475715,3.3671939302018585
2025-06-13,1.404148496484161,14041.484964841611,0.0,4.046347842352769,3.304462332571851
2025-06-20,1.4207866120921813,14207.866120921813,0.0,4.556636395637492,3.6534549084331633
2025-06-27,1.4310346553523443,14310.346553523443,0.0,4.918911012502485,3.789507568783993
2025-07-04,1.4310346553523443,14310.346553523443,0.0,4.916872889160988,3.4663814464983944
2025-07-11,1.474681458815332,14746.81458815332,0.0,5.565331424615449,3.504605492318603
2025-07-18,1.507026090092371,15070.260900923711,0.0,6.41310007115942,3.456378461955052
2025-07-25,1.5194644943449707,15194.644943449706,0.0,6.080774940787666,3.385264647201542
2025-08-01,1.541761354428535,15417.613544285348,0.0,6.035257493744726,3.6129792232358837
2025-08-08,1.5689426028084834,15689.426028084834,0.0,5.965004763562413,3.977029608694179
2025-08-15,1.5684661212615914,15684.661212615914,-0.0003036959708017095,5.83988304700313,4.082751391267952
