week_ending,equity
2026-03-20,1.0
2026-03-27,1.0
2026-04-03,1.0
2026-04-10,1.0023023474905879
2026-04-17,1.0023023474905879
2026-04-24,1.0023023474905879
2026-05-01,0.9984542313997449
2026-05-08,0.9984542313997449
2026-05-15,1.032990343083868
2026-05-22,1.0442402236083543
2026-05-29,1.096740019842541
2026-06-05,1.096740019842541
2026-06-12,1.1063954835943928
2026-06-19,1.0873085966340266
2026-06-26,1.0873085966340266
2026-07-03,1.0594689110537046
2026-07-10,1.0304273726423137
2026-07-17,1.0304273726423137
2026-07-24,1.047444202055134
2026-07-31,1.0979027371258143
2026-08-07,1.0865349367902957
2026-08-14,1.0886891319420402
2026-08-21,1.043394628461701
2026-08-28,1.043394628461701
2026-09-04,1.029160150314146
2026-09-11,1.029160150314146
